instrument_id,type,masked_identifier,issuing_bank
P00364,wallet,upi_130451,KOTAK
P00365,card,****3270,KOTAK
P00366,wallet,upi_627812,HDFC
P00367,wallet,upi_698301,AXIS
P00368,card,****6325,KOTAK
P00369,card,****3727,KOTAK
P00370,wallet,upi_594837,HDFC
P00371,upi,upi_123823,KOTAK
P00372,wallet,upi_508251,KOTAK
P00373,wallet,upi_302408,ICICI
P00374,upi,upi_486991,ICICI
P00375,card,****8736,ICICI
P00376,upi,upi_239093,SBI
P00377,card,****1506,ICICI
P00378,wallet,upi_583581,AXIS
P00379,card,****8268,ICICI
P00380,card,****8559,KOTAK
P00381,wallet,upi_216556,KOTAK
P00382,upi,upi_267003,ICICI
P00383,upi,upi_857120,HDFC
P00384,card,****1529,AXIS
P00385,wallet,upi_593050,AXIS
P00386,card,****7833,SBI
P00387,wallet,upi_663443,HDFC
P00388,wallet,upi_914320,KOTAK
P00389,wallet,upi_660118,HDFC
P00390,upi,upi_604163,HDFC
P00391,upi,upi_951089,AXIS
P00392,wallet,upi_906104,HDFC
P00393,upi,upi_518832,KOTAK
P00394,wallet,upi_781186,AXIS
P00395,upi,upi_925673,HDFC
P00396,card,****3391,SBI
P00397,wallet,upi_890183,HDFC
P00398,wallet,upi_277160,SBI
P00399,upi,upi_788428,SBI
P00400,card,****4982,AXIS
P00401,card,****5333,HDFC
P00402,upi,upi_773223,HDFC
P00403,upi,upi_843527,AXIS
P00404,card,****5259,SBI
P00405,upi,upi_822672,AXIS
P00406,upi,upi_925621,AXIS
P00407,wallet,upi_370450,KOTAK
P00408,upi,upi_723303,HDFC
P00409,card,****3425,KOTAK
P00410,upi,upi_127200,ICICI
P00411,upi,upi_690913,SBI
P00412,wallet,upi_405364,SBI
P00413,wallet,upi_265992,KOTAK
P00414,wallet,upi_419544,AXIS
P00415,wallet,upi_561229,SBI
P00416,card,****3106,ICICI
P00417,wallet,upi_406533,AXIS
P00418,upi,upi_767693,ICICI
P00419,card,****4467,KOTAK
P00420,upi,upi_255570,KOTAK
P00421,card,****5250,SBI
P00422,wallet,upi_633296,KOTAK
P00423,upi,upi_600143,KOTAK
P00424,card,****6639,ICICI
P00425,wallet,upi_994026,KOTAK
P00426,upi,upi_648759,SBI
P00427,upi,upi_608817,ICICI
P00428,wallet,upi_605468,ICICI
P00429,upi,upi_498325,HDFC
P00430,wallet,upi_167898,SBI
P00431,card,****6067,ICICI
P00432,card,****3459,SBI
P00433,wallet,upi_915807,HDFC
P00434,wallet,upi_306508,SBI
P00435,upi,upi_581633,KOTAK
P00436,wallet,upi_112793,KOTAK
P00437,card,****4318,SBI
P00438,wallet,upi_134435,AXIS
P00439,wallet,upi_203641,SBI
P00440,wallet,upi_170461,SBI
P00441,wallet,upi_660730,KOTAK
P00442,card,****1917,AXIS
P00443,wallet,upi_648351,ICICI
P00444,card,****5195,ICICI
P00445,wallet,upi_782420,ICICI
P00446,card,****8472,ICICI
P00447,card,****5354,KOTAK
P00448,upi,upi_195797,ICICI
P00449,wallet,upi_971044,HDFC
P00450,card,****9561,SBI
P00451,card,****4403,ICICI
P00452,card,****8819,AXIS
P00453,card,****9797,HDFC
P00454,upi,upi_928391,HDFC
P00455,card,****8836,HDFC
P00456,upi,upi_187436,AXIS
P00457,card,****2636,KOTAK
P00458,wallet,upi_325437,KOTAK
P00459,upi,upi_414531,KOTAK
P00460,card,****8041,HDFC
P00461,wallet,upi_564143,ICICI
P00462,wallet,upi_944906,KOTAK
P00463,upi,upi_100519,SBI
P00464,upi,upi_730565,SBI
P00465,upi,upi_761785,ICICI
P00466,upi,upi_631935,AXIS
P00467,wallet,upi_397539,SBI
P00468,upi,upi_658041,ICICI
P00469,upi,upi_388660,KOTAK
P00470,wallet,upi_423804,AXIS
P00471,card,****3984,AXIS
P00472,card,****6229,KOTAK
P00473,upi,upi_619871,ICICI
P00474,card,****2074,AXIS
P00475,wallet,upi_419439,HDFC
P00476,upi,upi_459065,KOTAK
P00477,card,****4171,HDFC
P00478,card,****4493,SBI
P00479,wallet,upi_420218,SBI
P00480,wallet,upi_594797,HDFC
P00481,wallet,upi_414637,KOTAK
P00482,card,****3532,SBI
P00483,card,****4144,AXIS
P00484,card,****3587,KOTAK
P00485,wallet,upi_264765,SBI
P00486,wallet,upi_596789,KOTAK
P00487,upi,upi_917632,SBI
P00488,card,****5306,AXIS
P00489,upi,upi_488802,ICICI
P00490,upi,upi_449933,SBI
P00491,wallet,upi_430664,AXIS
P00492,upi,upi_545957,KOTAK
P00493,upi,upi_899743,AXIS
P00494,card,****7620,HDFC
P00495,upi,upi_470789,ICICI
P00496,upi,upi_904308,SBI
P00497,card,****4313,ICICI
P00498,wallet,upi_851485,SBI
P00499,upi,upi_972993,SBI
P00500,card,****6273,AXIS
P00501,upi,upi_441505,KOTAK
P00502,wallet,upi_874915,ICICI
P00503,card,****9240,AXIS
P00504,upi,upi_212024,HDFC
P00505,card,****3628,SBI
P00506,wallet,upi_602983,KOTAK
P00507,upi,upi_148234,AXIS
P00508,wallet,upi_840807,AXIS
P00509,card,****5589,KOTAK
P00510,wallet,upi_493235,HDFC
P00511,card,****1919,SBI
P00512,upi,upi_664024,SBI
P00513,upi,upi_398042,HDFC
P00514,upi,upi_240807,HDFC
P00515,upi,upi_912901,AXIS
P00516,card,****3464,KOTAK
P00517,upi,upi_701975,ICICI
P00518,wallet,upi_192280,AXIS
P00519,card,****6371,KOTAK
P00520,wallet,upi_899840,SBI
P00521,wallet,upi_656822,SBI
P00522,wallet,upi_122913,ICICI
P00523,card,****6143,SBI
P00524,upi,upi_883572,ICICI
P00525,card,****6263,AXIS
P00526,card,****8549,SBI
P00527,upi,upi_308651,SBI
P00528,upi,upi_732938,HDFC
P00529,card,****2952,AXIS
P00530,upi,upi_515559,AXIS
P00531,card,****9657,HDFC
P00532,wallet,upi_491616,HDFC
P00533,wallet,upi_558444,HDFC
P00534,wallet,upi_937055,SBI
P00535,wallet,upi_615909,SBI
P00536,wallet,upi_449964,HDFC
P00537,wallet,upi_179222,KOTAK
P00538,card,****2840,KOTAK
P00539,card,****9413,HDFC
P00540,wallet,upi_591202,KOTAK
P00541,wallet,upi_300160,HDFC
P00542,wallet,upi_551880,SBI
P00543,upi,upi_573210,ICICI
P00544,wallet,upi_446480,HDFC
P00545,card,****6567,AXIS
P00546,wallet,upi_919056,AXIS
P00547,card,****7577,KOTAK
P00548,upi,upi_106662,KOTAK
P00549,upi,upi_119788,HDFC
P00550,card,****6281,AXIS
P00551,card,****5241,ICICI
P00552,wallet,upi_807304,SBI
P00553,wallet,upi_579989,ICICI
P00554,wallet,upi_471872,KOTAK
P00555,card,****4094,ICICI
P00556,card,****6054,ICICI
P00557,card,****1429,KOTAK
P00558,wallet,upi_985730,HDFC
P00559,card,****9848,SBI
P00560,card,****6365,SBI
P00561,card,****4421,ICICI
P00562,upi,upi_271220,AXIS
P00563,upi,upi_344296,ICICI
P00564,upi,upi_128622,ICICI
P00565,upi,upi_229090,AXIS
P00566,card,****8273,ICICI
P00567,upi,upi_151604,AXIS
P00568,upi,upi_518568,ICICI
P00569,card,****7234,KOTAK
P00570,card,****2521,ICICI
P00571,wallet,upi_706395,KOTAK
P00572,card,****3668,ICICI
P00573,card,****9013,KOTAK
P00574,upi,upi_886099,SBI
P00575,upi,upi_300258,ICICI
P00576,card,****9305,SBI
P00577,upi,upi_367685,KOTAK
P00578,card,****8486,HDFC
P00579,card,****7226,AXIS
P00580,upi,upi_999146,HDFC
P00581,upi,upi_477898,SBI
P00582,card,****8113,SBI
P00583,card,****2383,AXIS
P00584,upi,upi_116619,SBI
P00585,wallet,upi_778805,SBI
P00586,card,****3305,ICICI
P00587,card,****1151,ICICI
P00588,wallet,upi_263324,ICICI
P00589,wallet,upi_592634,HDFC
P00590,card,****4437,SBI
P00591,upi,upi_747553,AXIS
P00592,card,****7868,ICICI
P00593,card,****9496,ICICI
P00594,wallet,upi_948735,ICICI
P00595,upi,upi_214705,ICICI
P00596,card,****9151,ICICI
P00597,upi,upi_523262,SBI
P00598,upi,upi_752123,SBI
P00599,card,****1423,SBI
P00600,card,****8708,HDFC
P00601,wallet,upi_251352,AXIS
P00602,card,****9838,AXIS
P00603,wallet,upi_857619,KOTAK
P00604,card,****3591,HDFC
P00605,card,****6712,ICICI
P00606,card,****7879,HDFC
P00607,card,****8793,AXIS
P00608,upi,upi_997728,KOTAK
P00609,upi,upi_240934,KOTAK
P00610,wallet,upi_100756,SBI
P00611,upi,upi_592292,SBI
P00612,card,****6290,KOTAK
P00613,upi,upi_743416,HDFC
P00614,upi,upi_616740,KOTAK
P00615,card,****3061,ICICI
P00616,wallet,upi_236113,ICICI
P00617,card,****2346,HDFC
P00618,wallet,upi_523455,SBI
P00619,wallet,upi_210339,ICICI
P00620,card,****5106,ICICI
P00621,wallet,upi_791398,SBI
P00622,upi,upi_844971,AXIS
P00623,wallet,upi_719482,KOTAK
P00624,wallet,upi_705203,SBI
P00625,card,****6373,AXIS
P00626,upi,upi_793320,ICICI
P00627,wallet,upi_872182,HDFC
P00628,wallet,upi_938621,AXIS
P00629,wallet,upi_150350,ICICI
P00630,card,****1234,ICICI
P00631,wallet,upi_135771,ICICI
P00632,card,****7500,SBI
P00633,card,****8877,AXIS
P00634,upi,upi_296868,KOTAK
P00635,upi,upi_574065,ICICI
P00636,upi,upi_751493,SBI
P00637,wallet,upi_561229,HDFC
P00638,wallet,upi_392872,KOTAK
P00639,upi,upi_453637,ICICI
P00640,upi,upi_457546,AXIS
P00641,wallet,upi_578482,HDFC
P00642,wallet,upi_997805,SBI
P00643,wallet,upi_375632,HDFC
P00644,upi,upi_547232,HDFC
P00645,wallet,upi_232359,HDFC
P00646,card,****8494,HDFC
P00647,card,****5844,ICICI
P00648,upi,upi_421944,AXIS
P00649,upi,upi_680175,HDFC
P00650,wallet,upi_291482,AXIS
P00651,wallet,upi_304344,ICICI
P00652,wallet,upi_332634,HDFC
P00653,card,****6798,KOTAK
P00654,wallet,upi_917823,ICICI
P00655,wallet,upi_656334,KOTAK
P00656,card,****9735,SBI
P00657,wallet,upi_341616,KOTAK
P00658,card,****7135,ICICI
P00659,card,****3713,KOTAK
P00660,card,****3491,KOTAK
P00661,wallet,upi_544612,ICICI
P00662,upi,upi_151288,AXIS
P00663,upi,upi_508705,KOTAK
P00664,upi,upi_599694,AXIS
P00665,upi,upi_242732,SBI
P00666,card,****2226,SBI
P00667,wallet,upi_682753,SBI
P00668,card,****2094,HDFC
P00669,upi,upi_247118,ICICI
P00670,upi,upi_962392,ICICI
P00671,card,****7410,ICICI
P00672,wallet,upi_539363,AXIS
P00673,wallet,upi_302764,ICICI
P00674,upi,upi_173957,ICICI
P00675,upi,upi_247262,AXIS
P00676,card,****3487,ICICI
P00677,upi,upi_249326,SBI
P00678,upi,upi_111292,HDFC
P00679,wallet,upi_426275,KOTAK
P00680,card,****8718,ICICI
P00681,wallet,upi_559561,SBI
P00682,card,****9867,KOTAK
P00683,upi,upi_261141,HDFC
P00684,wallet,upi_457959,SBI
P00685,card,****7250,SBI
P00686,card,****8643,AXIS
P00687,wallet,upi_276638,AXIS
P00688,upi,upi_335545,KOTAK
P00689,card,****2451,KOTAK
P00690,wallet,upi_480160,ICICI
P00691,wallet,upi_618554,AXIS
P00692,upi,upi_159404,HDFC
P00693,upi,upi_983241,SBI
P00694,upi,upi_771366,KOTAK
P00695,upi,upi_540030,SBI
P00696,upi,upi_187129,HDFC
P00697,card,****8955,ICICI
P00698,wallet,upi_619020,ICICI
P00699,wallet,upi_554837,SBI
P00700,card,****8993,KOTAK
P00701,wallet,upi_978090,KOTAK
P00702,upi,upi_736095,KOTAK
P00703,wallet,upi_501171,HDFC
P00704,wallet,upi_213034,KOTAK
P00705,wallet,upi_203365,KOTAK
P00706,card,****2924,ICICI
P00707,upi,upi_708302,KOTAK
P00708,upi,upi_954886,AXIS
P00709,wallet,upi_880465,HDFC
P00710,upi,upi_778521,AXIS
P00711,upi,upi_701195,KOTAK
P00712,card,****7532,AXIS
P00713,wallet,upi_126886,ICICI
P00714,wallet,upi_289517,HDFC
P00715,wallet,upi_444941,HDFC
P00716,upi,upi_532164,HDFC
P00717,wallet,upi_578804,SBI
P00718,upi,upi_958121,SBI
P00719,upi,upi_360781,SBI
P00720,upi,upi_921779,HDFC
P00721,upi,upi_580462,SBI
P00722,card,****4430,KOTAK
P00723,wallet,upi_779778,SBI
P00724,wallet,upi_520815,SBI
P00725,card,****9189,HDFC
P00726,upi,upi_468893,KOTAK
P00727,wallet,upi_875798,ICICI
P00728,upi,upi_968937,SBI
P00729,card,****2481,AXIS
P00730,upi,upi_752004,AXIS
P00731,wallet,upi_295236,AXIS
P00732,card,****5336,AXIS
P00733,upi,upi_453371,AXIS
P00734,upi,upi_891434,ICICI
P00735,card,****6288,HDFC
P00736,card,****4109,KOTAK
P00737,upi,upi_630704,KOTAK
P00738,upi,upi_893531,KOTAK
P00739,wallet,upi_286550,AXIS
P00740,wallet,upi_829427,HDFC
P00741,card,****2529,HDFC
P00742,wallet,upi_727016,AXIS
P00743,upi,upi_252846,SBI
P00744,wallet,upi_470985,AXIS
P00745,card,****7311,HDFC
P00746,wallet,upi_954141,SBI
P00747,wallet,upi_697800,HDFC
P00748,upi,upi_335745,AXIS
P00749,card,****5028,KOTAK
P00750,card,****5485,HDFC
P00751,upi,upi_335372,ICICI
P00752,card,****4700,AXIS
P00753,wallet,upi_950945,ICICI
P00754,card,****1203,SBI
P00755,card,****1340,KOTAK
P00756,upi,upi_978634,AXIS
P00757,upi,upi_683346,KOTAK
P00758,wallet,upi_301577,AXIS
P00759,card,****9496,KOTAK
P00760,upi,upi_757724,KOTAK
P00761,upi,upi_883068,SBI
P00762,wallet,upi_935502,SBI
P00763,upi,upi_552266,SBI
P00764,upi,upi_346106,SBI
P00765,wallet,upi_474419,HDFC
P00766,wallet,upi_241025,SBI
P00767,wallet,upi_358888,KOTAK
P00768,wallet,upi_235019,HDFC
P00769,wallet,upi_842762,AXIS
P00770,wallet,upi_428712,HDFC
P00771,wallet,upi_338891,SBI
P00772,wallet,upi_836251,KOTAK
P00773,card,****8623,SBI
P00774,wallet,upi_977252,HDFC
P00775,upi,upi_748865,AXIS
P00776,upi,upi_719774,AXIS
P00777,card,****3807,HDFC
P00778,wallet,upi_570253,KOTAK
P00779,wallet,upi_160341,SBI
P00780,upi,upi_840618,ICICI
P00781,card,****6806,HDFC
P00782,wallet,upi_389501,KOTAK
P00783,upi,upi_863112,HDFC
P00784,wallet,upi_726774,AXIS
P00785,upi,upi_838425,ICICI
P00786,upi,upi_325657,AXIS
P00787,upi,upi_664548,SBI
P00788,upi,upi_343861,KOTAK
P00789,wallet,upi_526919,ICICI
P00790,wallet,upi_814417,KOTAK
P00791,upi,upi_107104,KOTAK
P00792,card,****6871,KOTAK
P00793,card,****2163,KOTAK
P00794,card,****9679,AXIS
P00795,wallet,upi_269038,ICICI
P00796,card,****3938,ICICI
P00797,card,****9109,HDFC
P00798,upi,upi_193434,HDFC
P00799,upi,upi_701885,AXIS
P00800,upi,upi_499812,AXIS
P00801,card,****6624,ICICI
P00802,card,****6098,SBI
